t,state,control
0,1.0,-11.0
1,-0.15000000000000013,1.6500000000000015
2,0.02250000000000002,-0.24750000000000022
3,-0.003375000000000003,0.03712500000000003
4,0.0005062500000000011,-0.005568750000000011
5,-7.593750000000016e-05,0.0008353125000000017
6,1.1390625000000035e-05,-0.00012529687500000038
7,-1.7085937500000072e-06,1.879453125000008e-05
8,2.5628906250000134e-07,-2.8191796875000147e-06
9,-3.84433593750002e-08,4.228769531250022e-07
10,5.766503906250038e-09,-6.343154296875042e-08
11,-8.649755859375064e-10,9.51473144531257e-09
12,1.2974633789062608e-10,-1.4272097167968869e-09
13,-1.9461950683593927e-11,2.140814575195332e-10
14,2.919292602539089e-12,-3.211221862792998e-11
15,-4.3789389038086337e-13,4.816832794189497e-12
16,6.568408355712953e-14,-7.225249191284248e-13
17,-9.852612533569436e-15,1.083787378692638e-13
18,1.4778918800354164e-15,-1.6256810680389582e-14
19,-2.2168378200531281e-16,2.4385216020584408e-15
20,3.325256730079692e-17,-3.6577824030876614e-16
21,-4.987885095119542e-18,5.486673604631496e-17
22,7.481827642679322e-19,-8.230010406947255e-18
23,-1.122274146401899e-19,1.2345015610420887e-18
24,1.683411219602849e-20,-1.8517523415631341e-19
25,-2.5251168294042767e-21,2.7776285123447043e-20
26,3.7876752441064173e-22,-4.1664427685170586e-21
27,-5.681512866159628e-23,6.249664152775591e-22
28,8.522269299239451e-24,-9.374496229163396e-23
29,-1.2783403948859185e-24,1.4061744343745102e-23
30,1.9175105923288778e-25,-2.1092616515617656e-24
31,-2.876265888493321e-26,3.163892477342653e-25
32,4.314398832739988e-27,-4.745838716013987e-26
33,-6.4715982491099865e-28,7.118758074020986e-27
34,9.707397373664994e-29,-1.0678137111031494e-27
35,-1.4561096060497498e-29,1.6017205666547247e-28
36,2.184164409074623e-30,-2.4025808499820853e-29
37,-3.276246613611936e-31,3.6038712749731295e-30
38,4.914369920417904e-32,-5.405806912459694e-31
39,-7.371554880626862e-33,8.108710368689549e-32
40,1.1057332320940299e-33,-1.2163065553034329e-32
41,-1.6585998481410455e-34,1.82445983295515e-33
42,2.4878997722115683e-35,-2.736689749432725e-34
43,-3.731849658317356e-36,4.105034624149091e-35
44,5.5977744874760415e-37,-6.157551936223646e-36
45,-8.396661731214067e-38,9.236327904335473e-37
46,1.25949925968211e-38,-1.385449185650321e-37
47,-1.889248889523166e-39,2.0781737784754825e-38
48,2.8338733342847514e-40,-3.1172606677132266e-39
49,-4.2508100014271304e-41,4.6758910015698434e-40
50,6.376215002140699e-42,-7.013836502354768e-41
51,-9.564322503211056e-43,1.0520754753532161e-41
52,1.4346483754816583e-43,-1.5781132130298242e-42
53,-2.1519725632224875e-44,2.3671698195447363e-43
54,3.227958844833733e-45,-3.550754729317106e-44
55,-4.841938267250604e-46,5.3261320939756646e-45
56,7.262907400875906e-47,-7.989198140963497e-46
57,-1.0894361101313871e-47,1.1983797211445258e-46
58,1.634154165197081e-48,-1.7975695817167892e-47
59,-2.4512312477956235e-49,2.696354372575186e-48
60,3.67684687169344e-50,-4.044531558862784e-49
61,-5.515270307540165e-51,6.066797338294182e-50
62,8.272905461310259e-52,-9.100196007441285e-51
63,-1.2409358191965397e-52,1.3650294011161937e-51
64,1.8614037287948096e-53,-2.0475441016742905e-52
65,-2.7921055931922176e-54,3.071316152511439e-53
66,4.1881583897883276e-55,-4.6069742287671603e-54
67,-6.282237584682497e-56,6.910461343150747e-55
68,9.423356377023753e-57,-1.0365692014726128e-55
69,-1.4135034565535634e-57,1.5548538022089197e-56
70,2.1202551848303474e-58,-2.332280703313382e-57
71,-3.180382777245521e-59,3.498421054970073e-58
72,4.770574165868285e-60,-5.247631582455114e-59
73,-7.155861248802431e-61,7.871447373682674e-60
74,1.0733791873203646e-61,-1.1807171060524011e-60
75,-1.610068780980547e-62,1.7710756590786017e-61
76,2.4151031714708218e-63,-2.6566134886179037e-62
77,-3.6226547572062305e-64,3.9849202329268535e-63
78,5.433982135809354e-65,-5.977380349390289e-64
79,-8.150973203714036e-66,8.966070524085439e-65
80,1.2226459805571056e-66,-1.344910578612816e-65
81,-1.833968970835659e-67,2.0173658679192252e-66
82,2.750953456253492e-68,-3.026048801878841e-67
83,-4.126430184380238e-69,4.539073202818262e-68
84,6.189645276570361e-70,-6.808609804227397e-69
85,-9.284467914855547e-71,1.0212914706341102e-69
86,1.392670187228332e-71,-1.5319372059511652e-70
87,-2.0890052808424993e-72,2.297905808926749e-71
88,3.1335079212637504e-73,-3.4468587133901257e-72
89,-4.700261881895633e-74,5.1702880700851965e-73
90,7.05039282284345e-75,-7.755432105127795e-74
91,-1.0575589234265175e-75,1.1633148157691692e-74
92,1.586338385139777e-76,-1.7449722236537545e-75
