t,state
0,1.0
1,-0.15000000000000013
2,0.02250000000000002
3,-0.003375000000000003
4,0.0005062500000000011
5,-7.593750000000016e-05
6,1.1390625000000035e-05
7,-1.7085937500000072e-06
8,2.5628906250000134e-07
9,-3.84433593750002e-08
10,5.766503906250038e-09
11,-8.649755859375064e-10
12,1.2974633789062608e-10
13,-1.9461950683593927e-11
14,2.919292602539089e-12
15,-4.3789389038086337e-13
16,6.568408355712953e-14
17,-9.852612533569436e-15
18,1.4778918800354164e-15
19,-2.2168378200531281e-16
20,3.325256730079692e-17
21,-4.987885095119542e-18
22,7.481827642679322e-19
23,-1.122274146401899e-19
24,1.683411219602849e-20
25,-2.5251168294042767e-21
26,3.7876752441064173e-22
27,-5.681512866159628e-23
28,8.522269299239451e-24
29,-1.2783403948859185e-24
30,1.9175105923288778e-25
31,-2.876265888493321e-26
32,4.314398832739988e-27
33,-6.4715982491099865e-28
34,9.707397373664994e-29
35,-1.4561096060497498e-29
36,2.184164409074623e-30
37,-3.276246613611936e-31
38,4.914369920417904e-32
39,-7.371554880626862e-33
40,1.1057332320940299e-33
41,-1.6585998481410455e-34
42,2.4878997722115683e-35
43,-3.731849658317356e-36
44,5.5977744874760415e-37
45,-8.396661731214067e-38
46,1.25949925968211e-38
47,-1.889248889523166e-39
48,2.8338733342847514e-40
49,-4.2508100014271304e-41
50,6.376215002140699e-42
51,-9.564322503211056e-43
52,1.4346483754816583e-43
53,-2.1519725632224875e-44
54,3.227958844833733e-45
55,-4.841938267250604e-46
56,7.262907400875906e-47
57,-1.0894361101313871e-47
58,1.634154165197081e-48
59,-2.4512312477956235e-49
60,3.67684687169344e-50
61,-5.515270307540165e-51
62,8.272905461310259e-52
63,-1.2409358191965397e-52
64,1.8614037287948096e-53
65,-2.7921055931922176e-54
66,4.1881583897883276e-55
67,-6.282237584682497e-56
68,9.423356377023753e-57
69,-1.4135034565535634e-57
70,2.1202551848303474e-58
71,-3.180382777245521e-59
72,4.770574165868285e-60
73,-7.155861248802431e-61
74,1.0733791873203646e-61
75,-1.610068780980547e-62
76,2.4151031714708218e-63
77,-3.6226547572062305e-64
78,5.433982135809354e-65
79,-8.150973203714036e-66
80,1.2226459805571056e-66
81,-1.833968970835659e-67
82,2.750953456253492e-68
83,-4.126430184380238e-69
84,6.189645276570361e-70
85,-9.284467914855547e-71
86,1.392670187228332e-71
87,-2.0890052808424993e-72
88,3.1335079212637504e-73
89,-4.700261881895633e-74
90,7.05039282284345e-75
91,-1.0575589234265175e-75
92,1.586338385139777e-76
93,-2.3795075777096635e-77
94,3.569261366564497e-78
95,-5.353892049846748e-79
96,8.030838074770117e-80
97,-1.2046257112155185e-80
98,1.8069385668232785e-81
99,-2.710407850234921e-82
100,4.065611775352381e-83
101,-6.09841766302858e-84
102,9.147626494542881e-85
103,-1.3721439741814322e-85
104,2.0582159612721506e-86
105,-3.0873239419082288e-87
106,4.6309859128623467e-88
107,-6.946478869293523e-89
108,1.0419718303940277e-89
109,-1.5629577455910415e-90
110,2.344436618386565e-91
111,-3.516654927579852e-92
112,5.2749823913697824e-93
113,-7.912473587054674e-94
114,1.1868710380582019e-94
115,-1.7803065570873034e-95
116,2.6704598356309577e-96
117,-4.0056897534464416e-97
118,6.00853463016967e-98
119,-9.012801945254507e-99
